command,parameter,index,pointer,length,end_exclusive,flags,priority,frames,silent_frames,stop_frames,repeat_frames,unvoiced_frames,voiced_frames,parsed_bits,truncated_frame
163,90,130,53558,381,53939,0,64,65,1,1,0,6,57,3032,False
164,91,131,53939,212,54151,0,64,38,1,1,0,6,30,1682,False
165,92,132,54151,213,54364,0,64,40,2,1,0,8,29,1694,False
166,93,134,54365,163,54528,0,64,28,0,1,0,3,24,1291,False
167,94,135,54528,327,54855,0,0,58,1,1,1,8,47,2601,False
168,95,140,54859,269,55128,0,0,51,2,1,0,13,35,2139,False
169,96,141,55128,171,55299,128,0,28,0,1,0,0,27,1354,False
170,97,142,55299,110,55409,128,0,19,0,1,1,0,17,865,False
171,98,143,55409,101,55510,128,0,22,1,1,0,10,10,798,False
172,99,144,55510,66,55576,128,0,12,0,1,1,0,10,515,False
173,100,145,55576,85,55661,128,0,15,0,1,1,0,13,665,False
174,101,146,55661,102,55763,128,0,17,0,1,0,0,16,804,False
175,102,147,55763,110,55873,128,0,19,0,1,1,0,17,865,False
176,103,148,55873,128,56001,128,0,22,0,1,1,0,20,1015,False
177,104,149,56001,115,56116,128,0,19,0,1,0,0,18,904,False
178,105,150,56116,140,56256,128,0,23,0,1,0,0,22,1104,False
179,106,151,56256,127,56383,128,0,21,0,1,0,0,20,1004,False
180,107,152,56383,158,56541,128,0,26,0,1,0,0,25,1254,False
181,108,153,56541,303,56844,128,0,50,0,1,0,2,47,2412,False
182,109,154,56844,433,57277,0,0,81,2,1,1,20,57,3453,False
183,110,155,57277,434,57711,0,0,76,1,1,1,10,63,3459,False
184,111,156,57711,417,58128,0,0,78,2,1,0,21,54,3321,False
185,112,157,58128,315,58443,0,0,51,0,1,0,0,50,2504,False
186,113,160,58772,202,58974,0,0,33,0,1,0,0,32,1604,False
187,114,162,58975,478,59453,0,0,78,0,1,1,0,76,3815,False
188,115,158,58443,328,58771,128,4,54,0,1,1,0,52,2615,False
189,116,163,59453,203,59656,0,0,34,0,1,1,0,32,1615,False
190,117,164,59656,226,59882,0,0,39,1,1,1,1,35,1798,False
191,118,165,59882,190,60072,0,0,31,0,1,0,0,30,1504,False
192,119,166,60072,187,60259,0,0,33,0,1,1,4,27,1481,False
193,120,167,60259,208,60467,0,0,34,0,1,0,0,33,1654,False
194,121,168,60467,203,60670,0,0,34,0,1,1,0,32,1615,False
195,122,169,60670,221,60891,0,0,37,1,1,0,0,35,1758,False
196,123,170,60891,173,61064,0,0,30,0,1,0,4,25,1370,False
197,124,171,61064,240,61304,0,0,39,0,1,0,0,38,1904,False
198,125,172,61304,231,61535,0,0,39,1,1,0,1,36,1837,False
199,126,173,61535,215,61750,0,0,36,1,1,0,0,34,1708,False
200,127,174,61750,191,61941,0,0,32,0,1,0,2,29,1512,False
201,128,175,61941,240,62181,0,0,39,0,1,0,0,38,1904,False
202,129,176,62181,275,62456,0,0,46,0,1,0,3,42,2191,False
203,130,177,62456,224,62680,0,0,37,0,1,0,1,35,1783,False
204,131,178,62680,180,62860,0,0,32,0,1,0,6,25,1428,False
205,132,179,62860,367,63227,0,0,64,1,1,1,7,54,2922,False
206,133,180,63227,318,63545,0,0,55,1,1,0,6,47,2532,False
207,134,181,63545,216,63761,0,0,44,0,1,1,19,23,1716,False
208,135,182,63761,316,64077,0,0,57,3,1,0,7,46,2519,False
209,136,183,64077,325,64402,0,0,60,2,1,0,13,44,2589,False
210,137,184,64402,336,64738,0,0,65,2,1,1,19,42,2674,False
211,138,185,64738,91,64829,0,0,22,3,1,3,4,11,715,False
212,139,186,64829,244,65073,0,0,43,0,1,0,8,34,1936,False
213,140,188,65074,155,65229,0,0,38,0,1,0,30,7,1224,False
